0	1000
1	1000
2	72
3	67
4	13
5	45
6	12
7	16
8	20
9	30
10	4
0	1000
1	1000
2	46
3	46
4	26
5	19
6	13
7	30
8	11
9	8
10	17
0	1000
1	1000
2	17
3	18
4	16
5	16
6	9
7	16
8	13
9	12
10	17
