100	268.463
200	310.381
300	217.963
400	276.663
500	100.637
600	159.129
700	435.925
800	201.056
900	335.613
1000	142.567
1100	117.382
1200	259.911
1300	226.541
1400	159.227
1500	462.529
1600	369.132
1700	184.44
1800	201.214
1900	310.357
2000	134.13
2100	251.454
2200	310.387
2300	243.101
2400	234.897
2500	159.211
2600	176.034
2700	243.111
2800	167.705
2900	134.078
3000	570.134
3100	310.076
3200	117.325
3300	259.878
3400	134.14
3500	100.688
3600	150.926
3700	242.95
3800	159.26
3900	117.358
4000	351.939
4100	117.269
4200	293.2
4300	234.823
4400	268.223
4500	251.414
4600	159.281
4700	519.766
4800	326.944
4900	394.178
5000	109.25
100	335.836
200	125.717
300	310.312
400	234.764
500	267.988
600	142.598
700	343.871
800	385.508
900	167.92
1000	226.663
1100	193.236
1200	201.454
1300	226.681
1400	361.136
1500	218.353
1600	461.744
1700	268.502
1800	151.171
1900	193.18
2000	218.318
2100	243.635
2200	352.688
2300	167.995
2400	293.802
2500	542.824
2600	361.255
2700	581.694
2800	134.021
2900	259.778
3000	427.852
3100	251.505
3200	293.319
3300	50.3206
3400	200.881
3500	201.025
3600	125.581
3700	142.368
3800	125.568
3900	83.7747
4000	544.452
4100	108.874
4200	200.896
4300	276.096
4400	234.417
4500	234.287
4600	167.417
4700	402.627
4800	153.414
4900	137.174
5000	246.573
100	757.502
100	810.674
200	413.97
300	235.606
400	381.246
500	462.207
600	224.301
700	1475.63
800	155.292
900	268.336
1000	290.956
1100	302.52
1200	416.747
1300	261.918
1400	930.943
1500	688.319
1600	329.114
1700	447.967
1800	281.451
1900	244.164
2000	212.694
2100	68.102
2200	107.524
2300	256.234
2400	179.525
2500	281.226
2600	345.428
2700	280.151
2800	307.885
2900	163.816
3000	819.991
3100	305.829
3200	550.626
3300	129.1
3400	563.988
3500	352.332
3600	99.804
3700	271.005
3800	215.198
3900	205.989
4000	370.56
4100	261.994
4200	303.882
4300	145.672
4400	483.844
4500	188.56
4600	219.649
4700	347.141
4800	292.509
4900	584.38
5000	243.363
